a52dec 0.7.4-10
acl 2.2.53-1
adobe-source-code-pro-fonts 2.030ro+1.050it-5
adwaita-icon-theme 3.32.0-1
alacritty 0.3.3-3
alsa-lib 1.1.9-2
alsa-plugins 1.1.9-2
alsa-utils 1.1.9-1
android-studio 3.5.0.21-2
android-tools 29.0.2-2
android-udev 20190315-1
aom 1.0.0.errata1-1
archlinux-keyring 20190827-1
argon2 20190702-1
aspell 0.60.7-1
at-spi2-atk 2.32.0-1
at-spi2-core 2.32.1-1
atk 2.32-1
atkmm 2.28.0-1
attr 2.4.48-1
audiofile 0.3.6-5
audit 2.8.5-3
autoconf 2.69-5
automake 1.16.1-1
avahi 0.7+18+g1b5f401-2
awesome-git 4.3.320.g88e51faa-1
babl 0.1.66-1
bash 5.0.009-1
bat 0.12.1-1
bbswitch 0.8-247
bc 1.07.1-3
binutils 2.32-2
bison 3.4-1
blas 3.8.0-2
bluez-libs 5.50-6
blurwal 1.1.1-1
boost-libs 1.69.0-2
broadcom-wl 6.30.223.271-128
brotli 1.0.7-1
btrfs-progs 5.2.1-1
bumblebee 3.2.1-20
bzip2 1.0.8-2
ca-certificates 20181109-1
ca-certificates-mozilla 3.46-1
ca-certificates-utils 20181109-1
cairo 1.17.2+17+g52a7c79fd-1
cairomm 1.12.2-3
cantarell-fonts 1:0.111-1
cdparanoia 10.2-7
celt 0.11.3-3
celt0.5.1 0.5.1.3-4
chromium-vaapi-bin 76.0.3809.132-1
cifs-utils 6.8-2
clang 8.0.1-1
colord 1.4.4-2
compiler-rt 8.0.1-1
compton 7.3-1
coreutils 8.31-1
cracklib 2.9.7-1
create_ap 0.4.6-2
cryptsetup 2.2.0-1
curl 7.65.3-1
dav1d 0.4.0-1
db 5.3.28-4
dbus 1.12.16-2
dbus-glib 0.110-1
dconf 0.32.0-3
desktop-file-utils 0.24-1
device-mapper 2.02.186-1
dhcpcd 7.2.2-1
dialog 1:1.3_20190808-1
diffutils 3.7-1
djvulibre 3.5.27-4
dmenu2 0.2-1
dmraid 1.0.0.rc16.3-11
dnsmasq 2.80-4
dosfstools 4.1-2
double-conversion 3.1.5-1
e2fsprogs 1.45.3-1
egl-wayland 1.1.3-1
eglexternalplatform 1.0+3+g7c8f8e2-1
enchant 2.2.5-1
exa 0.9.0-1
exiv2 0.27.2-1
exo 0.12.8-1
expat 2.2.7-1
faac 1.29.9.2-1
faad2 2.8.8-1
fakeroot 1.23-1
feh 3.2.1-1
ffmpeg 1:4.2-4
ffmpegthumbnailer 2.2.0-2
fftw 3.3.8-1
file 5.37-2
file-roller 3.32.1-1
filesystem 2019.05-2
findutils 4.7.0-1
flac 1.3.3-1
flex 2.6.4-2
fluidsynth 2.0.6-1
fontconfig 2:2.13.1+12+g5f5ec56-1
freetype2 2.10.1-1
fribidi 1.0.5-1
fuse-common 3.6.2-1
fuse2 2.9.9-1
garcon 0.6.4-1
gawk 5.0.1-1
gc 7.6.8-1
gcc 9.1.0-2
gcc-libs 9.1.0-2
gcr 3.28.1-1
gdbm 1.18.1-2
gdk-pixbuf2 2.38.1-1
gegl 0.4.16-2
gettext 0.20.1-1
giflib 5.2.1-1
gimp 2.10.12-2
girara 0.3.2-1
git 2.23.0-1
glew 2.1.0-1
glib-networking 2.60.3-1
glib2 2.60.6-1
glibc 2.29-4
glibmm 2.60.0-1
glslang 7.11.3214-2
glu 9.0.1-1
gmp 6.1.2-2
gnome-themes-extra 3.28-1
gnupg 2.2.17-2
gnutls 3.6.9-1
gobject-introspection-runtime 1.60.2-1
gotop-bin 3.0.0-2
gpgme 1.13.1-1
gpick 0.2.6rc1-5
gpm 1.20.7.r27.g1fd1941-1
gptfdisk 1.0.4-1
graphene 1.8.6-1
graphite 1:1.3.13-2
grep 3.3-1
groff 1.22.4-1
gsettings-desktop-schemas 3.32.0-2
gsfonts 20180524-2
gsl 2.6-1
gsm 1.0.18-1
gst-plugins-base 1.16.0-3
gst-plugins-base-libs 1.16.0-3
gstreamer 1.16.0-2
gtk-engine-murrine 0.98.2-3
gtk-engines 2.21.0-4
gtk-update-icon-cache 1:3.24.10-1
gtk2 2.24.32-1
gtk3 1:3.24.10-1
gtkmm 1:2.24.5-3
gtkmm3 3.24.1-1
gtkspell 2.0.16-7
gucharmap 12.0.1-1
guile 2.2.6-1
gvfs 1.40.2-1
gzip 1.10-1
harfbuzz 2.6.1-1
harfbuzz-icu 2.6.1-1
haveged 1.9.4-3
hdparm 9.58-1
hicolor-icon-theme 0.17-1
homebank 5.2.7-1
hostapd 2.9-1
hspell 1.4-1
htop 2.2.0-2
hunspell 1.7.0-2
hwids 20190818-1
hyphen 2.8.8-2
iana-etc 20190823-1
icu 64.2-1
ilmbase 2.3.0-1
imagemagick 7.0.8.63-1
imlib2 1.5.1-1
inetutils 1.9.4-7
inkscape 0.92.4-8
intel-tbb 2019.8-1
intellij-idea-community-edition 2:2019.2.1-1
iproute2 5.2.0-1
iptables 1:1.8.3-1
iputils 20180629.f6aac8d-4
iso-codes 4.3-1
iw 5.3-1
iwd 0.20-1
jack 0.125.0-7
jansson 2.12-1
jasper 2.0.16-1
java-environment-common 3-1
java-runtime-common 3-1
jdk11-openjdk 11.0.4.u11-1
jdk8-openjdk 8.u222-2
jemalloc 1:5.2.1-1
jfsutils 1.1.15-6
jq 1.6-2
jre11-openjdk 11.0.4.u11-1
jre11-openjdk-headless 11.0.4.u11-1
jre8-openjdk 8.u222-2
jre8-openjdk-headless 8.u222-2
js60 60.8.0-1
json-c 0.13.1-2
json-glib 1.4.4-1
kbd 2.2.0-3
keyutils 1.6.1-1
kmod 26-2
krb5 1.17-1
l-smash 2.14.5-1
lain-git 1707.71ca1bd-1
lame 3.100-2
lapack 3.8.0-2
lcms2 2.9-2
ldb 1:1.5.5-1
lensfun 0.3.2-7
less 551-1
libaio 0.3.112-1
libao 1.2.2-2
libarchive 3.4.0-2
libass 0.14.0-1
libassuan 2.5.3-1
libasyncns 0.8+3+g68cd5af-2
libatasmart 0.19-4
libatomic_ops 7.6.10-1
libavc1394 0.5.4-3
libblockdev 2.22-1
libbluray 1.1.2-1
libbsd 0.9.1-1
libbytesize 2.1-1
